Id,Name,Description
1,Laptop,"High-performance laptop with 16GB RAM and 512GB SSD"
2,T-Shirt,"Cotton t-shirt, available in multiple colors"
3,Programming Book,"Learn C# programming with practical examples"
4,Smartphone,"Latest smartphone with 6.7-inch display and 5G connectivity"
5,Tablette,"Tablette 10 pouces avec écran haute résolution et autonomie longue durée"
6,Auriculares Inalámbricos,"Auriculares Bluetooth con cancelación de ruido y 24 horas de batería"
7,Smartwatch,"Fitness tracking horloge met hartslagmeter en GPS"
8,Console de Jeu,"Console de jeu nouvelle génération avec capacités gaming 4K"
9,Altavoz Bluetooth,"Altavoz portátil con sonido 360 grados y diseño resistente al agua"
10,Digitale Camera,"DSLR camera met 24MP sensor en 4K video opname"
11,Moniteur,"Moniteur 4K 27 pouces avec support HDR"
12,Ratón Inalámbrico,"Ratón inalámbrico ergonómico con botones personalizables"
13,Mechanisch Toetsenbord,"RGB mechanisch toetsenbord met aanpasbare schakelaars"
14,Vaqueros,"Vaqueros clásicos de mezclilla disponibles en varios cortes y lavados"
15,Pull-over,"Pull-over en maille chaude parfait pour les temps froids"
16,Waterproof Jas,"Waterdichte jas met ademende stof"
17,Vestido,"Vestido elegante adecuado para ocasiones formales"
18,Short,"Short confortable pour les activités par temps chaud"
19,Sokken,"Pak van 6 katoenen sokken in verschillende kleuren"
20,Sudadera con Capucha,"Sudadera casual con bolsillo frontal"
21,Maillot de Bain,"Maillot de bain à séchage rapide pour la plage et la piscine"
22,Sjaal,"Zachte geweven sjaal voor extra warmte en stijl"
23,Guantes,"Guantes compatibles con pantalla táctil para uso en invierno"
24,Programmeren in Python,"Leer Python programmeren met praktische voorbeelden en oefeningen"
25,JavaScript para Principiantes,"Guía completa de JavaScript para desarrollo web moderno"
26,Programmation Java,"Maîtrisez la programmation Java avec des exemples concrets"
27,C# Programming Guide,"Comprehensive guide to C# programming with practical examples"
28,React Development,"Ontwikkel moderne web applicaties met React en Redux"
29,Desarrollo con Angular,"Construye aplicaciones web robustas con Angular y TypeScript"
30,Développement Web avec Vue.js,"Créez des applications web interactives avec Vue.js et Vuex"
31,Database Design,"Leer database ontwerp en SQL optimalisatie technieken"
32,Algoritmos y Estructuras de Datos,"Fundamentos de algoritmos y estructuras de datos en programación"
33,Machine Learning en Python,"Introduction au machine learning avec Python et scikit-learn"
34,Cafetera,"Cafetera programable con jarra térmica"
35,Mixeur,"Mixeur haute puissance pour smoothies et transformation alimentaire"
36,Broodrooster,"4-slice broodrooster met meerdere bruiningsinstellingen"
37,Horno Microondas,"Microondas de encimera con múltiples funciones de cocción"
38,Service de Couverts,"Service de 24 couverts en acier inoxydable"
39,Kookpot Set,"Anti-aanbak kookpot set met glazen deksels"
40,Cojín Decorativo,"Cojines decorativos para sofá y cama"
41,Parure de Lit,"Parure de lit en coton doux avec housse de couette et taies d'oreiller"
42,Handdoeken Set,"Set van 6 absorberende katoenen badhanddoeken"
43,Alfombra,"Alfombra suave para mejorar tu espacio de vida"
44,Zapatillas de Running,"Zapatillas ligeras para correr con suela acolchada"
45,Tapis de Yoga,"Tapis de yoga antidérapant avec sangle de transport"
46,Halters,"Set van verstelbare halters voor thuis workouts"
47,Raqueta de Tenis,"Raqueta de tenis profesional con funda de transporte"
48,Ballon de Basketball,"Ballon de basketball taille et poids officiels"
49,Fietshelm,"Lichtgewicht fietshelm met verstelbare pasvorm"
50,Monitor de Actividad,"Rastreador de actividad con monitoreo de frecuencia cardíaca"
51,Clubs de Golf,"Set complet de clubs de golf pour débutants"
52,Snowboard,"All-mountain snowboard voor gevorderde rijders"
53,Gafas de Natación,"Gafas de natación anti-empañamiento con protección UV"
54,Aspiradora para Coche,"Aspiradora portátil para interiores de automóviles"
55,Caméra de Tableau de Bord,"Caméra de tableau de bord HD avec capacité de vision nocturne"
56,Auto Telefoonhouder,"Verstelbare telefoonhouder voor autodashboard of voorruit"
57,Arrancador Portátil,"Arrancador portátil con linterna integrada"
58,Manomètre de Pneu,"Manomètre de pression des pneus numérique avec écran rétroéclairé"
59,Autowas,"Premium autowas voor langdurige glans en bescherming"
60,Funda para Coche,"Funda impermeable para protección en todo tipo de clima"
61,Housses de Siège,"Housses de siège universelles avec résistance aux taches"
62,Floor Mats,"All-weather floor mats with anti-slip backing"
63,GPS Navigator,"GPS navigation system with real-time traffic updates"
64,Facial Cleanser,"Gentle facial cleanser for all skin types"
65,Moisturizer,"Hydrating face moisturizer with SPF protection"
66,Hair Dryer,"Professional-grade hair dryer with multiple heat settings"
67,Makeup Set,"Complete makeup set with brushes and case"
68,Perfume,"Luxurious fragrance with long-lasting scent"
69,Hair Straightener,"Ceramic hair straightener with adjustable temperature"
70,Face Mask,"Hydrating sheet masks for weekly skin treatment"
71,Nail Polish Set,"Set of 10 nail polishes in trendy colors"
72,Eyeshadow Palette,"Versatile eyeshadow palette with matte and shimmer finishes"
73,Beard Trimmer,"Precision beard trimmer with multiple length settings"
74,Vitamin Supplements,"Daily multivitamin supplements for overall health"
75,Digital Scale,"Digital bathroom scale with body composition analysis"
76,Blood Pressure Monitor,"Home blood pressure monitor with irregular heartbeat detection"
77,First Aid Kit,"Comprehensive first aid kit for home and travel"
78,Massage Gun,"Deep tissue massage gun with multiple attachments"
79,Heating Pad,"Electric heating pad with multiple heat settings"
80,Resistance Bands,"Set of resistance bands for strength training"
81,Protein Powder,"Whey protein powder for post-workout recovery"
82,Sleep Mask,"Contoured sleep mask for better rest"
83,Foam Roller,"Textured foam roller for muscle recovery"
84,Board Game,"Family board game for ages 8 and up"
85,Building Blocks,"Creative building blocks set for children"
86,Puzzle,"1000-piece jigsaw puzzle with scenic design"
87,Remote Control Car,"High-speed remote control car for off-road racing"
88,Stuffed Animal,"Soft plush stuffed animal for children"
89,Action Figure,"Collectible action figure with accessories"
90,Card Game,"Fun card game for parties and gatherings"
91,Drone,"Mini drone with camera for beginners"
92,Educational Toy,"STEM learning toy for developing minds"
93,Doll House,"Detailed dollhouse with furniture and accessories"
94,Notebook,"Premium ruled notebook with hardcover"
95,Pen Set,"Set of 10 gel pens in assorted colors"
96,Desk Organizer,"Multi-compartment desk organizer for office supplies"
97,Stapler,"Heavy-duty stapler with staple remover"
98,File Cabinet,"Two-drawer file cabinet for document storage"
99,Whiteboard,"Magnetic whiteboard with marker tray"
100,Paper Shredder,"Cross-cut paper shredder for secure document disposal"
101,Desk Lamp,"LED desk lamp with adjustable brightness"
102,Printer Paper,"500 sheets of premium printer paper"
103,Calendar,"Monthly desk calendar with notes section"